TAIL_NUMBER,MODEL_NUMBER,DESCRIPTION,COMPANY_NAME,CODE,COUNTRY_NAME,SDF_COC_003
UR-CKB,A320,AIRBUS A320,"AIR COMPANY ""AVIATRANS K"" LTD.",UA,Ukraine,F
PK-BBS,B737-300,BOEING 737-300,"Cardig Air, PT",SG,Singapore,F
PK-BBY,B737-300,BOEING 737-300,"Cardig Air, PT",SG,Singapore,F
PK-BBB,B737-300,BOEING 737-300,"Cardig Air, PT",SG,Singapore,F
TC-KLA,A320,AIRBUS A320,KOGALYMAVIA AIRLINES LTD (KOLAVIA),RU,Russian Federation,F
EI-FDM,A320,AIRBUS A320,KOGALYMAVIA AIRLINES LTD (KOLAVIA),RU,Russian Federation,F
EI-ETJ,A321,AIRBUS A321,KOGALYMAVIA AIRLINES LTD (KOLAVIA),RU,Russian Federation,F
EI-ETH,A321,AIRBUS A321,KOGALYMAVIA AIRLINES LTD (KOLAVIA),RU,Russian Federation,F
EI-ETK,A321,AIRBUS A321,KOGALYMAVIA AIRLINES LTD (KOLAVIA),RU,Russian Federation,F
EI-ETL,A321,AIRBUS A321,KOGALYMAVIA AIRLINES LTD (KOLAVIA),RU,Russian Federation,F
EI-FBV,A321,AIRBUS A321,KOGALYMAVIA AIRLINES LTD (KOLAVIA),RU,Russian Federation,F
EI-FBF,A321,AIRBUS A321,KOGALYMAVIA AIRLINES LTD (KOLAVIA),RU,Russian Federation,F
EI-FBH,A321,AIRBUS A321,KOGALYMAVIA AIRLINES LTD (KOLAVIA),RU,Russian Federation,F
EX-37501,B737-500,BOEING 737-500,"OJSC ""Air Kyrgyzstan""",KG,Kyrgyzstan,F
EX-37401,B737-400,BOEING 737-400,"OJSC ""Air Kyrgyzstan""",KG,Kyrgyzstan,F
EX-37301,B737-300,BOEING 737-300,"OJSC ""Air Kyrgyzstan""",KG,Kyrgyzstan,F
UR-WRH,A321,AIRBUS A321,"WINDROSE AVIATION COMPANY, LTD",UA,Ukraine,F
UR-WRI,A321,AIRBUS A321,"WINDROSE AVIATION COMPANY, LTD",UA,Ukraine,F
UR-WRJ,A321,AIRBUS A321,"WINDROSE AVIATION COMPANY, LTD",UA,Ukraine,F
UR-WRK,A320,AIRBUS A320,"WINDROSE AVIATION COMPANY, LTD",UA,Ukraine,F
UR-WRM,A320,AIRBUS A320,"WINDROSE AVIATION COMPANY, LTD",UA,Ukraine,F
UR-WRO,A321,AIRBUS A321,"WINDROSE AVIATION COMPANY, LTD",UA,Ukraine,F
UR-WRP,A321,AIRBUS A321,"WINDROSE AVIATION COMPANY, LTD",UA,Ukraine,F
VQ-BNR,A320,AIRBUS A320,Yamal Airlines JSC,RU,Russian Federation,F
VP-BBN,A320,AIRBUS A320,Yamal Airlines JSC,RU,Russian Federation,F
VP-BCU,A320,AIRBUS A320,Yamal Airlines JSC,RU,Russian Federation,F
VP-BCN,A320,AIRBUS A320,Yamal Airlines JSC,RU,Russian Federation,F
VP-BHW,A320,AIRBUS A320,Yamal Airlines JSC,RU,Russian Federation,F
VP-BHX,A320,AIRBUS A320,Yamal Airlines JSC,RU,Russian Federation,F
VP-BHZ,A320,AIRBUS A320,Yamal Airlines JSC,RU,Russian Federation,F
VQ-BSQ,A321,AIRBUS A321,Yamal Airlines JSC,RU,Russian Federation,F
VQ-BSM,A321,AIRBUS A321,Yamal Airlines JSC,RU,Russian Federation,F
VP-BRU,B737-500,BOEING 737-500,Yamal Airlines JSC,RU,Russian Federation,F
VP-BRV,B737-500,BOEING 737-500,Yamal Airlines JSC,RU,Russian Federation,F
VP-BRQ,B737-500,BOEING 737-500,Yamal Airlines JSC,RU,Russian Federation,F
VP-BRS,B737-500,BOEING 737-500,Yamal Airlines JSC,RU,Russian Federation,F
VQ-BII,B737-400,BOEING 737-400,Yamal Airlines JSC,RU,Russian Federation,F
VQ-BIK,B737-400,BOEING 737-400,Yamal Airlines JSC,RU,Russian Federation,F
VQ-BNM,B737-500,BOEING 737-500,Yamal Airlines JSC,RU,Russian Federation,F
VQ-BAB,B737-500,BOEING 737-500,Yamal Airlines JSC,RU,Russian Federation,F
VP-BKW,B737-400,BOEING 737-400,Yamal Airlines JSC,RU,Russian Federation,F
VQ-BPD,CRJ200,Bombardier CRJ200,Yamal Airlines JSC,RU,Russian Federation,F
VQ-BPC,CRJ200,Bombardier CRJ200,Yamal Airlines JSC,RU,Russian Federation,F
VQ-BPB,CRJ200,Bombardier CRJ200,Yamal Airlines JSC,RU,Russian Federation,F
VQ-BPA,CRJ200,Bombardier CRJ200,Yamal Airlines JSC,RU,Russian Federation,F
VP-BBA,CRJ200,Bombardier CRJ200,Yamal Airlines JSC,RU,Russian Federation,F
VP-BBC,CRJ200,Bombardier CRJ200,Yamal Airlines JSC,RU,Russian Federation,F
VP-BBE,CRJ200,Bombardier CRJ200,Yamal Airlines JSC,RU,Russian Federation,F
VP-BBM,CRJ200,Bombardier CRJ200,Yamal Airlines JSC,RU,Russian Federation,F
RA-67219,CRJ200,Bombardier CRJ200,Yamal Airlines JSC,RU,Russian Federation,F
VQ-BSB,CRJ200,Bombardier CRJ200,Yamal Airlines JSC,RU,Russian Federation,F
